round_epochs,loss,mse,mae,val_loss,val_mse,val_mae,first_gru_dim,gru_activation,first_dense_dim,first_dense_activation,batch_size,epochs,patience,optimizer,lr
679,0.002997512696310878,0.002997512696310878,0.02716723643243313,0.003414902137592435,0.003414902137592435,0.026596780866384506,100,relu,100,relu,256,200,20,rmsprop,1e-05
194,0.0030477186664938927,0.0030477186664938927,0.027435870841145515,0.0034005821216851473,0.0034005821216851473,0.02634495310485363,100,relu,100,relu,256,200,20,rmsprop,0.0001
124,0.003023328259587288,0.003023328259587288,0.027308477088809013,0.0034183638636022806,0.0034183638636022806,0.02676117978990078,50,relu,32,relu,256,200,20,rmsprop,0.001
121,0.00299439812079072,0.00299439812079072,0.026951182633638382,0.003332986496388912,0.003332986496388912,0.02616293355822563,75,relu,32,relu,256,200,20,nadam,0.001
128,0.00301083130761981,0.00301083130761981,0.02712596394121647,0.0034191757440567017,0.0034191757440567017,0.026484500616788864,75,relu,16,relu,256,200,20,adam,0.0001
419,0.0030183191411197186,0.0030183191411197186,0.027308987453579903,0.003439386608079076,0.003439386608079076,0.026761038228869438,75,relu,16,relu,256,200,20,rmsprop,0.0001
112,0.003067383076995611,0.003067383076995611,0.027673065662384033,0.0034988857805728912,0.0034988857805728912,0.027215009555220604,50,relu,64,relu,256,200,20,nadam,1e-05
150,0.003011581487953663,0.003011581487953663,0.027292652055621147,0.003447644878178835,0.003447644878178835,0.026835542172193527,75,relu,100,relu,256,200,20,nadam,0.001
126,0.003039792412891984,0.003039792412891984,0.027370959520339966,0.003408679971471429,0.003408679971471429,0.02654247172176838,50,relu,64,relu,256,200,20,rmsprop,0.0001
172,0.0030263271182775497,0.0030263271182775497,0.02726682461798191,0.0033753574825823307,0.0033753574825823307,0.026440417394042015,75,relu,64,relu,256,200,20,adam,1e-05
142,0.003003596793860197,0.003003596793860197,0.027116091921925545,0.0033810383174568415,0.0033810383174568415,0.026510098949074745,50,relu,32,relu,256,200,20,nadam,0.0001
