round_epochs,loss,mse,mae,val_loss,val_mse,val_mae,first_gru_dim,gru_activation,first_dense_dim,first_dense_activation,batch_size,epochs,patience,optimizer,lr
119,0.0012722308747470379,0.0012722308747470379,0.015402764081954956,0.002661690814420581,0.002661690814420581,0.01895945891737938,50,relu,100,relu,256,200,20,adam,0.001
137,0.0012735986383631825,0.0012735986383631825,0.015352274291217327,0.002670664805918932,0.002670664805918932,0.01884051039814949,50,relu,32,relu,256,200,20,nadam,0.0001
128,0.0012263684766367078,0.0012263684766367078,0.0151164336130023,0.0026617739349603653,0.0026617739349603653,0.01840936951339245,75,relu,64,relu,256,200,20,nadam,0.001
117,0.001279310672543943,0.001279310672543943,0.015326481312513351,0.0026277145370841026,0.0026277145370841026,0.018742090091109276,100,relu,16,relu,256,200,20,adam,0.001
141,0.001222111051902175,0.001222111051902175,0.015063395723700523,0.0026322496123611927,0.0026322496123611927,0.0183526873588562,100,relu,16,relu,256,200,20,rmsprop,0.0001
133,0.0012269987491890788,0.0012269987491890788,0.015097204595804214,0.002490673214197159,0.002490673214197159,0.018143584951758385,50,relu,64,relu,256,200,20,nadam,0.001
104,0.0012937644496560097,0.0012937644496560097,0.015496684238314629,0.0025809200014919043,0.0025809200014919043,0.018876632675528526,50,relu,64,relu,256,200,20,adam,1e-05
149,0.0012811734341084957,0.0012811734341084957,0.015462695620954037,0.0026415616739541292,0.0026415616739541292,0.018917018547654152,50,relu,32,relu,256,200,20,adam,1e-05
154,0.0012357447994872928,0.0012357447994872928,0.015159274451434612,0.00267471419647336,0.00267471419647336,0.018679287284612656,100,relu,100,relu,256,200,20,nadam,1e-05
111,0.0013090235879644752,0.0013090235879644752,0.015575109981000423,0.0026296712458133698,0.0026296712458133698,0.01896110363304615,50,relu,16,relu,256,200,20,adam,0.001
134,0.0012995771830901504,0.0012995771830901504,0.015444634482264519,0.002637064317241311,0.002637064317241311,0.018897244706749916,75,relu,64,relu,256,200,20,nadam,1e-05
112,0.0012688697315752506,0.0012688697315752506,0.01532728411257267,0.0026313115376979113,0.0026313115376979113,0.018919967114925385,50,relu,64,relu,256,200,20,nadam,0.0001
111,0.0013046995736658573,0.0013046995736658573,0.0154081666842103,0.002673740964382887,0.002673740964382887,0.019010154530405998,50,relu,32,relu,256,200,20,rmsprop,0.001
123,0.001304015750065446,0.001304015750065446,0.015553376637399197,0.002652951516211033,0.002652951516211033,0.01899505965411663,100,relu,16,relu,256,200,20,nadam,0.0001
166,0.0012198106851428747,0.0012198106851428747,0.01508499775081873,0.002683179685845971,0.002683179685845971,0.01856720633804798,75,relu,16,relu,256,200,20,adam,0.001
288,0.001251818030141294,0.001251818030141294,0.015136144123971462,0.0026948577724397182,0.0026948577724397182,0.018657943233847618,100,relu,32,relu,256,200,20,adam,1e-05
172,0.0012523519108071923,0.0012523519108071923,0.015162410214543343,0.002640525344759226,0.002640525344759226,0.01864900439977646,50,relu,32,relu,256,200,20,nadam,0.001
136,0.0012502489844337106,0.0012502489844337106,0.015239838510751724,0.0026418399065732956,0.0026418399065732956,0.018663017079234123,75,relu,64,relu,256,200,20,adam,0.001
193,0.0012728094588965178,0.0012728094588965178,0.01533407624810934,0.0026053874753415585,0.0026053874753415585,0.018675902858376503,50,relu,32,relu,256,200,20,rmsprop,1e-05
163,0.0012054042890667915,0.0012054042890667915,0.015059644356369972,0.0026383453514426947,0.0026383453514426947,0.018297644332051277,50,relu,100,relu,256,200,20,nadam,1e-05
159,0.0012686453992500901,0.0012686453992500901,0.015352373942732811,0.002656148513779044,0.002656148513779044,0.01889939419925213,100,relu,32,relu,256,200,20,nadam,0.001
138,0.0012794695794582367,0.0012794695794582367,0.01549698319286108,0.0026198457926511765,0.0026198457926511765,0.01892056129872799,100,relu,16,relu,256,200,20,nadam,0.001
132,0.0012439003912732005,0.0012439003912732005,0.0151769258081913,0.0025257428642362356,0.0025257428642362356,0.018301650881767273,100,relu,64,relu,256,200,20,rmsprop,0.0001
116,0.0013043415965512395,0.0013043415965512395,0.015558414161205292,0.0026411982253193855,0.0026411982253193855,0.019065940752625465,50,relu,32,relu,256,200,20,adam,0.0001
167,0.0012584537034854293,0.0012584537034854293,0.015230449847877026,0.0025615564081817865,0.0025615564081817865,0.018522370606660843,50,relu,16,relu,256,200,20,adam,0.0001
146,0.0012494813418015838,0.0012494813418015838,0.015268749557435513,0.002607201924547553,0.002607201924547553,0.018618538975715637,75,relu,100,relu,256,200,20,adam,0.001
122,0.001219924888573587,0.001219924888573587,0.015071898698806763,0.0026026892010122538,0.0026026892010122538,0.01831330731511116,75,relu,100,relu,256,200,20,adam,0.0001
132,0.0012891890946775675,0.0012891890946775675,0.015420320443809032,0.002639271318912506,0.002639271318912506,0.018876805901527405,50,relu,64,relu,256,200,20,rmsprop,0.001
127,0.0012579397298395634,0.0012579397298395634,0.015244769863784313,0.0026450392324477434,0.0026450392324477434,0.018692614510655403,75,relu,16,relu,256,200,20,rmsprop,0.0001
144,0.0012456804979592562,0.0012456804979592562,0.015209763310849667,0.0025976765900850296,0.0025976765900850296,0.01843477040529251,100,relu,64,relu,256,200,20,adam,1e-05
127,0.0012765898136422038,0.0012765898136422038,0.015328805893659592,0.0026718350127339363,0.0026718350127339363,0.018870605155825615,50,relu,64,relu,256,200,20,adam,0.001
133,0.0013051446294412017,0.0013051446294412017,0.015549036674201488,0.0026567112654447556,0.0026567112654447556,0.019023699685931206,75,relu,32,relu,256,200,20,nadam,1e-05
116,0.0012833726359531283,0.0012833726359531283,0.015423600561916828,0.0026650354266166687,0.0026650354266166687,0.018923308700323105,75,relu,16,relu,256,200,20,nadam,0.0001
144,0.0012463347520679235,0.0012463347520679235,0.015235131606459618,0.0025189928710460663,0.0025189928710460663,0.01831849105656147,100,relu,100,relu,256,200,20,adam,0.001
155,0.0012384236324578524,0.0012384236324578524,0.015157913789153099,0.0026041693054139614,0.0026041693054139614,0.018449662253260612,50,relu,64,relu,256,200,20,adam,0.0001
151,0.0012723118998110294,0.0012723118998110294,0.015391305088996887,0.002601889194920659,0.002601889194920659,0.018726199865341187,75,relu,100,relu,256,200,20,adam,1e-05
132,0.0012769196182489395,0.0012769196182489395,0.015346045605838299,0.0026129595935344696,0.0026129595935344696,0.01877545937895775,100,relu,64,relu,256,200,20,rmsprop,1e-05
129,0.001282121753320098,0.001282121753320098,0.01541735790669918,0.0026579962577670813,0.0026579962577670813,0.018917256966233253,100,relu,32,relu,256,200,20,nadam,0.0001
136,0.001260640099644661,0.001260640099644661,0.015375020913779736,0.0026156206149607897,0.0026156206149607897,0.018733341246843338,50,relu,100,relu,256,200,20,nadam,0.0001
131,0.0012545090867206454,0.0012545090867206454,0.015299267135560513,0.002557978732511401,0.002557978732511401,0.018387790769338608,75,relu,64,relu,256,200,20,rmsprop,0.001
158,0.0011993051739409566,0.0011993051739409566,0.015255942940711975,0.002605128800496459,0.002605128800496459,0.01840740069746971,100,relu,32,relu,256,200,20,rmsprop,1e-05
144,0.001216069795191288,0.001216069795191288,0.015046249143779278,0.0027540603186935186,0.0027540603186935186,0.018664291128516197,100,relu,64,relu,256,200,20,nadam,0.001
721,0.0012222998775541782,0.0012222998775541782,0.015002140775322914,0.0025380831211805344,0.0025380831211805344,0.018087895587086678,50,relu,32,relu,256,200,20,rmsprop,0.0001
128,0.0012988231610506773,0.0012988231610506773,0.015480675734579563,0.0025814760010689497,0.0025814760010689497,0.018776332959532738,100,relu,32,relu,256,200,20,rmsprop,0.0001
132,0.0012712647439911962,0.0012712647439911962,0.01532822661101818,0.002617702353745699,0.002617702353745699,0.018732793629169464,100,relu,64,relu,256,200,20,adam,0.0001
131,0.0013106903061270714,0.0013106903061270714,0.015547137707471848,0.002697860589250922,0.002697860589250922,0.019123271107673645,75,relu,32,relu,256,200,20,adam,1e-05
123,0.0012410226045176387,0.0012410226045176387,0.015172863379120827,0.002589841838926077,0.002589841838926077,0.0184189360588789,75,relu,32,relu,256,200,20,adam,0.0001
143,0.0012109543895348907,0.0012109543895348907,0.015072470530867577,0.002586615737527609,0.002586615737527609,0.01820087619125843,75,relu,16,relu,256,200,20,nadam,0.001
121,0.0012544585624709725,0.0012544585624709725,0.015287568792700768,0.0025715234223753214,0.0025715234223753214,0.018601378425955772,75,relu,64,relu,256,200,20,rmsprop,1e-05
135,0.00126795400865376,0.00126795400865376,0.01534811221063137,0.0025979685597121716,0.0025979685597121716,0.018701329827308655,75,relu,32,relu,256,200,20,nadam,0.0001
118,0.0012968783266842365,0.0012968783266842365,0.015484670177102089,0.0026210248470306396,0.0026210248470306396,0.018884021788835526,50,relu,100,relu,256,200,20,adam,0.0001
137,0.0012775659561157227,0.0012775659561157227,0.015372282825410366,0.002612633630633354,0.002612633630633354,0.018792008981108665,100,relu,16,relu,256,200,20,rmsprop,0.001
111,0.0012709896545857191,0.0012709896545857191,0.01530704740434885,0.0026938423980027437,0.0026938423980027437,0.018898306414484978,100,relu,32,relu,256,200,20,nadam,1e-05
130,0.0013039644109085202,0.0013039644109085202,0.015512220561504364,0.002699286211282015,0.002699286211282015,0.01905854232609272,75,relu,16,relu,256,200,20,adam,0.0001
126,0.0012905397452414036,0.0012905397452414036,0.015407956205308437,0.0026445328257977962,0.0026445328257977962,0.01895798183977604,100,relu,16,relu,256,200,20,adam,0.0001
115,0.0012620859779417515,0.0012620859779417515,0.015296947211027145,0.0026740736793726683,0.0026740736793726683,0.018835440278053284,100,relu,64,relu,256,200,20,nadam,0.0001
229,0.001221788115799427,0.001221788115799427,0.015084878541529179,0.002592001110315323,0.002592001110315323,0.01831556111574173,100,relu,100,relu,256,200,20,adam,0.0001
124,0.0012632005382329226,0.0012632005382329226,0.015285519883036613,0.002559575717896223,0.002559575717896223,0.0185692198574543,100,relu,100,relu,256,200,20,nadam,0.0001
163,0.0013355800183489919,0.0013355800183489919,0.01563417539000511,0.0027452351059764624,0.0027452351059764624,0.019503479823470116,50,relu,32,relu,256,200,20,nadam,1e-05
125,0.0012624096125364304,0.0012624096125364304,0.015262022614479065,0.0026004877872765064,0.0026004877872765064,0.018631624057888985,75,relu,64,relu,256,200,20,rmsprop,0.0001
128,0.0012873726664111018,0.0012873726664111018,0.015488804318010807,0.002657694276422262,0.002657694276422262,0.019026653841137886,50,relu,16,relu,256,200,20,rmsprop,1e-05
149,0.0012649657437577844,0.0012649657437577844,0.015277981758117676,0.0026032195892184973,0.0026032195892184973,0.018664438277482986,50,relu,64,relu,256,200,20,nadam,1e-05
139,0.001223376952111721,0.001223376952111721,0.015124221332371235,0.002565699862316251,0.002565699862316251,0.018240496516227722,75,relu,100,relu,256,200,20,nadam,0.001
149,0.0012477545533329248,0.0012477545533329248,0.015236683189868927,0.0025714237708598375,0.0025714237708598375,0.01852542720735073,100,relu,16,relu,256,200,20,rmsprop,1e-05
177,0.001239429577253759,0.001239429577253759,0.015191317535936832,0.0025708661414682865,0.0025708661414682865,0.01838984712958336,50,relu,16,relu,256,200,20,adam,1e-05
128,0.0012486438499763608,0.0012486438499763608,0.015179182402789593,0.0026091900654137135,0.0026091900654137135,0.01861397922039032,50,relu,100,relu,256,200,20,rmsprop,0.0001
153,0.0012519804295152426,0.0012519804295152426,0.015236083418130875,0.002583012217655778,0.002583012217655778,0.01847841776907444,50,relu,64,relu,256,200,20,rmsprop,0.0001
121,0.0012414620723575354,0.0012414620723575354,0.01511969044804573,0.0025884786155074835,0.0025884786155074835,0.01840135268867016,100,relu,32,relu,256,200,20,adam,0.0001
142,0.001297241309657693,0.001297241309657693,0.015453077852725983,0.002608019392937422,0.002608019392937422,0.018763210624456406,75,relu,32,relu,256,200,20,rmsprop,0.001
114,0.0012478437274694443,0.0012478437274694443,0.015194312669336796,0.002622282365337014,0.002622282365337014,0.01865667849779129,75,relu,16,relu,256,200,20,rmsprop,0.001
246,0.0012583566131070256,0.0012583566131070256,0.015217217616736889,0.002636713907122612,0.002636713907122612,0.018632514402270317,100,relu,64,relu,256,200,20,adam,0.001
139,0.001243477570824325,0.001243477570824325,0.015328598208725452,0.002611044328659773,0.002611044328659773,0.01865221932530403,100,relu,100,relu,256,200,20,nadam,0.001
131,0.0013092654990032315,0.0013092654990032315,0.0155038982629776,0.002612264361232519,0.002612264361232519,0.01889549195766449,75,relu,64,relu,256,200,20,adam,0.0001
124,0.0012710747541859746,0.0012710747541859746,0.015328659676015377,0.002615479752421379,0.002615479752421379,0.01873447187244892,100,relu,64,relu,256,200,20,rmsprop,0.001
151,0.0012480459408834577,0.0012480459408834577,0.015228706412017345,0.002619572449475527,0.002619572449475527,0.01857888139784336,75,relu,16,relu,256,200,20,nadam,1e-05
