round_epochs,loss,mse,mae,val_loss,val_mse,val_mae,first_gru_dim,gru_activation,first_dense_dim,first_dense_activation,batch_size,epochs,patience,optimizer,lr
156,0.0014771167188882828,0.0014771167188882828,0.01826081983745098,0.0013365248451009393,0.0013365248451009393,0.019198013469576836,50,relu,32,relu,256,200,20,adam,0.0001
159,0.001439546700567007,0.001439546700567007,0.018009820953011513,0.0013338405406102538,0.0013338405406102538,0.018981382250785828,50,relu,64,relu,256,200,20,adam,0.001
119,0.0014546712627634406,0.0014546712627634406,0.01808950863778591,0.0013225697912275791,0.0013225697912275791,0.019017040729522705,50,relu,16,relu,256,200,20,rmsprop,0.0001
143,0.0014197707641869783,0.0014197707641869783,0.017785459756851196,0.0013597755460068583,0.0013597755460068583,0.018955476582050323,75,relu,32,relu,256,200,20,nadam,1e-05
130,0.001444967114366591,0.001444967114366591,0.01796707697212696,0.0013587236171588302,0.0013587236171588302,0.019073883071541786,50,relu,64,relu,256,200,20,nadam,0.0001
135,0.001440937165170908,0.001440937165170908,0.017913416028022766,0.001338444883003831,0.001338444883003831,0.01900792121887207,50,relu,32,relu,256,200,20,nadam,0.001
115,0.001467631314881146,0.001467631314881146,0.018195047974586487,0.0013351792003959417,0.0013351792003959417,0.019141968339681625,75,relu,16,relu,256,200,20,nadam,0.001
175,0.0014584737364202738,0.0014584737364202738,0.018136493861675262,0.0013147460995242,0.0013147460995242,0.01898435689508915,75,relu,32,relu,256,200,20,rmsprop,1e-05
160,0.0014081705594435334,0.0014081705594435334,0.017633941024541855,0.0013353637186810374,0.0013353637186810374,0.01875382848083973,50,relu,64,relu,256,200,20,rmsprop,0.0001
143,0.0014479056699201465,0.0014479056699201465,0.01801162026822567,0.0013395868008956313,0.0013395868008956313,0.019045066088438034,100,relu,16,relu,256,200,20,nadam,0.0001
120,0.0014536452945321798,0.0014536452945321798,0.018091998994350433,0.00134358333889395,0.00134358333889395,0.019121961668133736,75,relu,32,relu,256,200,20,adam,1e-05
119,0.001437726547010243,0.001437726547010243,0.017927177250385284,0.0013630418106913567,0.0013630418106913567,0.01904459297657013,100,relu,32,relu,256,200,20,rmsprop,1e-05
121,0.0015058474382385612,0.0015058474382385612,0.01843944936990738,0.0013398694572970271,0.0013398694572970271,0.019324548542499542,100,relu,16,relu,256,200,20,adam,0.001
162,0.001459991792216897,0.001459991792216897,0.018140312284231186,0.0013197583612054586,0.0013197583612054586,0.019038962200284004,100,relu,100,relu,256,200,20,adam,1e-05
130,0.0014436080818995833,0.0014436080818995833,0.017961272969841957,0.001340088085271418,0.001340088085271418,0.018965402618050575,100,relu,64,relu,256,200,20,adam,1e-05
127,0.001414584112353623,0.001414584112353623,0.017644980922341347,0.0013350154040381312,0.0013350154040381312,0.018741685897111893,100,relu,32,relu,256,200,20,rmsprop,0.001
135,0.001430812175385654,0.001430812175385654,0.01787327229976654,0.0013444687938317657,0.0013444687938317657,0.0189127828925848,50,relu,100,relu,256,200,20,adam,0.0001
100,0.001513550290837884,0.001513550290837884,0.018549585714936256,0.0013650497421622276,0.0013650497421622276,0.01953052170574665,75,relu,64,relu,256,200,20,nadam,0.001
125,0.0014178998535498977,0.0014178998535498977,0.017823003232479095,0.0013268792536109686,0.0013268792536109686,0.01879880391061306,75,relu,16,relu,256,200,20,adam,0.001
114,0.0015308698639273643,0.0015308698639273643,0.018677575513720512,0.0013521556975319982,0.0013521556975319982,0.01953904889523983,75,relu,16,relu,256,200,20,adam,0.0001
135,0.0014254046836867929,0.0014254046836867929,0.017804153263568878,0.001329459948465228,0.001329459948465228,0.018799662590026855,75,relu,16,relu,256,200,20,rmsprop,0.0001
125,0.0014122363645583391,0.0014122363645583391,0.017687827348709106,0.0013293433003127575,0.0013293433003127575,0.01869943179190159,100,relu,32,relu,256,200,20,adam,1e-05
118,0.0015018783742561936,0.0015018783742561936,0.018433410674333572,0.0013563284883275628,0.0013563284883275628,0.019411170855164528,50,relu,64,relu,256,200,20,nadam,1e-05
