round_epochs,loss,mse,mae,val_loss,val_mse,val_mae,first_gru_dim,gru_activation,first_dense_dim,first_dense_activation,batch_size,epochs,patience,optimizer,lr
864,0.0021784340497106314,0.0021784340497106314,0.023217424750328064,0.0016037712339311838,0.0016037712339311838,0.019819501787424088,50,relu,16,relu,256,200,20,nadam,1e-05
688,0.0021434759255498648,0.0021434759255498648,0.02303636446595192,0.0015012682415544987,0.0015012682415544987,0.0197080560028553,50,relu,64,relu,256,200,20,rmsprop,0.0001
925,0.0021759355440735817,0.0021759355440735817,0.023240039125084877,0.0015650332206860185,0.0015650332206860185,0.019851207733154297,75,relu,16,relu,256,200,20,adam,1e-05
191,0.002203594194725156,0.002203594194725156,0.023449653759598732,0.0015239566564559937,0.0015239566564559937,0.01995915174484253,75,relu,16,relu,256,200,20,rmsprop,1e-05
1000,0.0021482803858816624,0.0021482803858816624,0.0230310820043087,0.0014541296986863017,0.0014541296986863017,0.01970270462334156,75,relu,100,relu,256,200,20,rmsprop,0.001
1000,0.0021172151900827885,0.0021172151900827885,0.022757243365049362,0.0014653969556093216,0.0014653969556093216,0.01954299956560135,100,relu,64,relu,256,200,20,adam,0.0001
1000,0.0021457576658576727,0.0021457576658576727,0.022976422682404518,0.001457030070014298,0.001457030070014298,0.019499242305755615,75,relu,32,relu,256,200,20,adam,0.001
1000,0.002139556687325239,0.002139556687325239,0.02297300659120083,0.0014971354976296425,0.0014971354976296425,0.019636545330286026,50,relu,16,relu,256,200,20,rmsprop,0.001
497,0.0021508855279535055,0.0021508855279535055,0.022922758013010025,0.001467924565076828,0.001467924565076828,0.019616587087512016,100,relu,16,relu,256,200,20,adam,0.001
946,0.002160855336114764,0.002160855336114764,0.023107198998332024,0.0014582746662199497,0.0014582746662199497,0.01962437480688095,100,relu,64,relu,256,200,20,adam,0.001
626,0.0021343876142054796,0.0021343876142054796,0.022858504205942154,0.0014644443290308118,0.0014644443290308118,0.019566427916288376,75,relu,32,relu,256,200,20,nadam,0.001
953,0.002139917341992259,0.002139917341992259,0.022965503856539726,0.0014912477927282453,0.0014912477927282453,0.019566820934414864,50,relu,64,relu,256,200,20,rmsprop,1e-05
1000,0.0021151667460799217,0.0021151667460799217,0.022815793752670288,0.001510806498117745,0.001510806498117745,0.01954501122236252,50,relu,100,relu,256,200,20,rmsprop,0.001
125,0.002210894599556923,0.002210894599556923,0.023598071187734604,0.0015981473261490464,0.0015981473261490464,0.020055072382092476,75,relu,16,relu,256,200,20,adam,0.001
939,0.002154231769964099,0.002154231769964099,0.023074939846992493,0.001528496271930635,0.001528496271930635,0.019709736108779907,50,relu,16,relu,256,200,20,rmsprop,1e-05
993,0.0021032479126006365,0.0021032479126006365,0.02276925928890705,0.001475468510761857,0.001475468510761857,0.019531413912773132,50,relu,100,relu,256,200,20,adam,0.001
127,0.0022012293338775635,0.0022012293338775635,0.023427801206707954,0.0015213192673400044,0.0015213192673400044,0.01990656740963459,50,relu,32,relu,256,200,20,rmsprop,1e-05
1000,0.002139256801456213,0.002139256801456213,0.022999772801995277,0.0014735902659595013,0.0014735902659595013,0.019631709903478622,50,relu,64,relu,256,200,20,adam,1e-05
589,0.0021340567618608475,0.0021340567618608475,0.022951917722821236,0.0015131542459130287,0.0015131542459130287,0.019668595865368843,75,relu,16,relu,256,200,20,nadam,1e-05
786,0.0021042905282229185,0.0021042905282229185,0.02270016446709633,0.0015180428745225072,0.0015180428745225072,0.019645744934678078,50,relu,32,relu,256,200,20,nadam,0.001
1000,0.002119587268680334,0.002119587268680334,0.022758876904845238,0.0014205739134922624,0.0014205739134922624,0.019411083310842514,100,relu,16,relu,256,200,20,nadam,1e-05
609,0.0021540431771427393,0.0021540431771427393,0.023054955527186394,0.0014722786145284772,0.0014722786145284772,0.01959104649722576,100,relu,100,relu,256,200,20,rmsprop,0.0001
