round_epochs,loss,mse,mae,val_loss,val_mse,val_mae,first_gru_dim,gru_activation,first_dense_dim,first_dense_activation,batch_size,epochs,patience,optimizer,lr
151,0.0022173861507326365,0.0022173861507326365,0.0192997045814991,0.0013232843484729528,0.0013232843484729528,0.018190838396549225,50,relu,64,relu,256,200,20,adam,0.0001
133,0.0022691639605909586,0.0022691639605909586,0.019720518961548805,0.0012784991413354874,0.0012784991413354874,0.018272606655955315,100,relu,64,relu,256,200,20,nadam,0.0001
128,0.0022684538271278143,0.0022684538271278143,0.019758237525820732,0.0012892328668385744,0.0012892328668385744,0.01840142533183098,50,relu,16,relu,256,200,20,rmsprop,0.001
147,0.002247427124530077,0.002247427124530077,0.019699206575751305,0.0013144774129614234,0.0013144774129614234,0.018391745164990425,75,relu,64,relu,256,200,20,nadam,0.0001
109,0.0022587599232792854,0.0022587599232792854,0.01977691613137722,0.001318196882493794,0.001318196882493794,0.018490662798285484,100,relu,32,relu,256,200,20,adam,1e-05
118,0.002305518602952361,0.002305518602952361,0.0200163796544075,0.0012988452799618244,0.0012988452799618244,0.01865176297724247,100,relu,16,relu,256,200,20,adam,0.001
130,0.002242076676338911,0.002242076676338911,0.019616147503256798,0.0013200240209698677,0.0013200240209698677,0.018411509692668915,50,relu,32,relu,256,200,20,adam,1e-05
142,0.0022298579569905996,0.0022298579569905996,0.019449332728981972,0.001310831750743091,0.001310831750743091,0.01822877675294876,50,relu,64,relu,256,200,20,rmsprop,1e-05
135,0.0022182760294526815,0.0022182760294526815,0.01930070109665394,0.0013101856457069516,0.0013101856457069516,0.01808544620871544,100,relu,16,relu,256,200,20,adam,1e-05
122,0.0022286400198936462,0.0022286400198936462,0.019430188462138176,0.0013318804558366537,0.0013318804558366537,0.018235722556710243,50,relu,100,relu,256,200,20,rmsprop,0.001
113,0.0022454294376075268,0.0022454294376075268,0.01960201933979988,0.0012892974773421884,0.0012892974773421884,0.01824050582945347,100,relu,32,relu,256,200,20,nadam,0.0001
110,0.002309734933078289,0.002309734933078289,0.020143091678619385,0.0013075480237603188,0.0013075480237603188,0.018735477700829506,50,relu,16,relu,256,200,20,rmsprop,0.0001
101,0.0023576708044856787,0.0023576708044856787,0.020295027643442154,0.001312855165451765,0.001312855165451765,0.018812881782650948,75,relu,100,relu,256,200,20,nadam,0.0001
110,0.0022386431228369474,0.0022386431228369474,0.019434303045272827,0.0013113432796671987,0.0013113432796671987,0.01822664588689804,50,relu,64,relu,256,200,20,nadam,0.001
114,0.002231576247140765,0.002231576247140765,0.019428476691246033,0.0012949005467817187,0.0012949005467817187,0.018188586458563805,75,relu,32,relu,256,200,20,adam,1e-05
149,0.002257113577798009,0.002257113577798009,0.01969742402434349,0.0012943143956363201,0.0012943143956363201,0.0182290431112051,50,relu,100,relu,256,200,20,adam,0.001
109,0.0023377398028969765,0.0023377398028969765,0.020242182537913322,0.0013044500956311822,0.0013044500956311822,0.018817758187651634,75,relu,32,relu,256,200,20,rmsprop,0.001
107,0.002222515642642975,0.002222515642642975,0.019403360784053802,0.0013489114353433251,0.0013489114353433251,0.01830347254872322,75,relu,32,relu,256,200,20,adam,0.001
