round_epochs,loss,mse,mae,val_loss,val_mse,val_mae,first_conv_dim,first_conv_kernel,first_conv_activation,first_lstm_dim,first_dense_dim,first_dense_activation,batch_size,epochs,patience,optimizer,lr
88,0.0033765442203730345,0.0033765442203730345,0.027415461838245392,0.002133770380169153,0.002133770380169153,0.02564634382724762,64,3,relu,50,16,tanh,256,200,20,adam,1e-05
284,0.0033713800366967916,0.0033713800366967916,0.027424436062574387,0.00209824088960886,0.00209824088960886,0.02555295079946518,64,3,relu,75,16,relu,256,200,20,adam,0.001
104,0.003398799104616046,0.003398799104616046,0.027697235345840454,0.002119078068062663,0.002119078068062663,0.025677990168333054,32,3,relu,50,32,relu,256,200,20,adam,0.0001
88,0.0033643452916294336,0.0033643452916294336,0.027414735406637192,0.002080352744087577,0.002080352744087577,0.025438601151108742,64,3,relu,75,32,relu,256,200,20,adam,0.0001
106,0.0033850085455924273,0.0033850085455924273,0.02757636271417141,0.0020859618671238422,0.0020859618671238422,0.02551203779876232,32,5,relu,50,16,relu,256,200,20,adam,0.0001
331,0.0033562444150447845,0.0033562444150447845,0.027429265901446342,0.0020799138583242893,0.0020799138583242893,0.025574881583452225,64,3,relu,50,64,tanh,256,200,20,adam,0.001
146,0.003364999545738101,0.003364999545738101,0.02744213305413723,0.0020929526071995497,0.0020929526071995497,0.025493253022432327,32,5,relu,50,32,tanh,256,200,20,adam,0.0001
85,0.003408179385587573,0.003408179385587573,0.027812877669930458,0.002136870287358761,0.002136870287358761,0.025865785777568817,64,5,relu,50,16,tanh,256,200,20,adam,0.001
102,0.0034164495300501585,0.0034164495300501585,0.027551747858524323,0.002102950820699334,0.002102950820699334,0.025671087205410004,32,5,relu,75,16,relu,256,200,20,adam,0.001
1000,0.0032920832745730877,0.0032920832745730877,0.02725120633840561,0.0020850065629929304,0.0020850065629929304,0.025246018543839455,64,7,relu,50,16,relu,256,200,20,adam,1e-05
144,0.0033516993280500174,0.0033516993280500174,0.02733009308576584,0.002060833154246211,0.002060833154246211,0.025351470336318016,32,7,relu,75,16,relu,256,200,20,adam,1e-05
75,0.003416019259020686,0.003416019259020686,0.02761540189385414,0.0020857048220932484,0.0020857048220932484,0.025545421987771988,32,3,relu,75,16,relu,256,200,20,adam,0.0001
133,0.0034080452751368284,0.0034080452751368284,0.027672316879034042,0.002101142192259431,0.002101142192259431,0.025734107941389084,64,3,relu,50,64,relu,256,200,20,adam,1e-05
219,0.0033504031598567963,0.0033504031598567963,0.027354920282959938,0.0021082714665681124,0.0021082714665681124,0.025526762008666992,32,3,relu,50,32,tanh,256,200,20,adam,0.001
105,0.0033430259209126234,0.0033430259209126234,0.027350235730409622,0.002091240370646119,0.002091240370646119,0.02555198408663273,32,3,relu,75,16,relu,256,200,20,adam,0.001
93,0.0034009371884167194,0.0034009371884167194,0.027521193027496338,0.002080604899674654,0.002080604899674654,0.02555016241967678,64,3,relu,75,64,tanh,256,200,20,adam,0.0001
103,0.0033715369645506144,0.0033715369645506144,0.027464604005217552,0.002110984642058611,0.002110984642058611,0.02554227039217949,32,5,relu,50,16,tanh,256,200,20,adam,0.0001
142,0.0033801482059061527,0.0033801482059061527,0.027417149394750595,0.0020712174009531736,0.0020712174009531736,0.02537429705262184,64,7,relu,50,64,tanh,256,200,20,adam,0.0001
116,0.0033489540219306946,0.0033489540219306946,0.02742033638060093,0.002043484477326274,0.002043484477326274,0.0252944678068161,64,7,relu,75,32,relu,256,200,20,adam,0.0001
197,0.003351290477439761,0.003351290477439761,0.0273697879165411,0.002061782870441675,0.002061782870441675,0.025361785665154457,64,3,relu,50,32,relu,256,200,20,adam,0.001
102,0.0034098527394235134,0.0034098527394235134,0.02757786028087139,0.0020966026932001114,0.0020966026932001114,0.02554040588438511,64,5,relu,50,64,tanh,256,200,20,adam,0.001
93,0.0033843035344034433,0.0033843035344034433,0.027597634121775627,0.002092458074912429,0.002092458074912429,0.025556501001119614,64,5,relu,75,16,tanh,256,200,20,adam,1e-05
110,0.003334654029458761,0.003334654029458761,0.02732086181640625,0.0020828975830227137,0.0020828975830227137,0.025448521599173546,32,3,relu,75,32,relu,256,200,20,adam,0.0001
106,0.0033928367774933577,0.0033928367774933577,0.02760634757578373,0.0020719373133033514,0.0020719373133033514,0.025613507255911827,64,7,relu,50,64,tanh,256,200,20,adam,1e-05
122,0.0033735071774572134,0.0033735071774572134,0.02751822955906391,0.0020775909069925547,0.0020775909069925547,0.025567064061760902,32,3,relu,50,16,tanh,256,200,20,adam,1e-05
110,0.003347846446558833,0.003347846446558833,0.02734024077653885,0.0020743971690535545,0.0020743971690535545,0.025489939376711845,32,5,relu,50,16,relu,256,200,20,adam,0.001
209,0.0033427083399146795,0.0033427083399146795,0.02751181833446026,0.002080183243378997,0.002080183243378997,0.02541235089302063,32,7,relu,50,64,relu,256,200,20,adam,0.001
88,0.0033890993800014257,0.0033890993800014257,0.02748214639723301,0.002113836584612727,0.002113836584612727,0.02569120191037655,64,7,relu,75,16,tanh,256,200,20,adam,0.001
96,0.0033536762930452824,0.0033536762930452824,0.027440138161182404,0.0020776239689439535,0.0020776239689439535,0.025532584637403488,64,3,relu,75,32,relu,256,200,20,adam,0.001
103,0.003352612955495715,0.003352612955495715,0.027355385944247246,0.0020797667093575,0.0020797667093575,0.025461720302700996,32,7,relu,75,16,relu,256,200,20,adam,0.0001
102,0.003401517868041992,0.003401517868041992,0.027609294280409813,0.0020999189000576735,0.0020999189000576735,0.02566063590347767,32,5,relu,50,64,relu,256,200,20,adam,0.0001
119,0.0033967208582907915,0.0033967208582907915,0.0275973379611969,0.002094301860779524,0.002094301860779524,0.02565915510058403,32,5,relu,50,64,tanh,256,200,20,adam,1e-05
105,0.00340965180657804,0.00340965180657804,0.027586616575717926,0.0020980406552553177,0.0020980406552553177,0.0255455132573843,32,3,relu,75,64,tanh,256,200,20,adam,1e-05
116,0.0033765535335987806,0.0033765535335987806,0.027396606281399727,0.002060492290183902,0.002060492290183902,0.02545062266290188,64,7,relu,50,32,tanh,256,200,20,adam,0.001
108,0.003433779114857316,0.003433779114857316,0.02773195505142212,0.0021421134006232023,0.0021421134006232023,0.025865880772471428,32,3,relu,75,64,relu,256,200,20,adam,0.001
384,0.003345140488818288,0.003345140488818288,0.027325589209794998,0.002107937354594469,0.002107937354594469,0.025474049150943756,32,7,relu,75,16,tanh,256,200,20,adam,1e-05
95,0.0033704135566949844,0.0033704135566949844,0.02740980125963688,0.002099222969263792,0.002099222969263792,0.02552529238164425,32,3,relu,75,32,relu,256,200,20,adam,1e-05
92,0.003374208929017186,0.003374208929017186,0.027517147362232208,0.002059170976281166,0.002059170976281166,0.025556309148669243,64,3,relu,75,32,tanh,256,200,20,adam,1e-05
92,0.003391147358343005,0.003391147358343005,0.02753155492246151,0.0021235987078398466,0.0021235987078398466,0.02569478377699852,32,7,relu,50,32,relu,256,200,20,adam,0.001
98,0.0033756878692656755,0.0033756878692656755,0.02741418033838272,0.0020775613375008106,0.0020775613375008106,0.025477305054664612,64,7,relu,75,16,tanh,256,200,20,adam,1e-05
86,0.0034299353137612343,0.0034299353137612343,0.02771005779504776,0.0020860193762928247,0.0020860193762928247,0.02575039118528366,64,7,relu,75,64,tanh,256,200,20,adam,1e-05
