round_epochs,loss,mse,mae,val_loss,val_mse,val_mae,first_conv_dim,first_conv_kernel,first_conv_activation,first_lstm_dim,first_dense_dim,first_dense_activation,batch_size,epochs,patience,optimizer,lr
77,0.0014173309318721294,0.0014173309318721294,0.017894526943564415,0.0015250366413965821,0.0015250366413965821,0.01932084560394287,64,7,relu,75,32,tanh,256,200,20,adam,0.0001
93,0.0014002065872773528,0.0014002065872773528,0.01787351258099079,0.001521892030723393,0.001521892030723393,0.019018959254026413,64,7,relu,75,32,tanh,256,200,20,adam,1e-05
99,0.001394573599100113,0.001394573599100113,0.017724955454468727,0.0014850167790427804,0.0014850167790427804,0.01893766224384308,32,3,relu,75,32,tanh,256,200,20,adam,1e-05
94,0.0014095695223659277,0.0014095695223659277,0.018009807914495468,0.0015474408864974976,0.0015474408864974976,0.01924627088010311,64,5,relu,75,16,tanh,256,200,20,adam,0.001
97,0.0013955236645415425,0.0013955236645415425,0.01785656064748764,0.0015150069957599044,0.0015150069957599044,0.019126370549201965,32,7,relu,50,16,relu,256,200,20,adam,0.001
80,0.0014198911376297474,0.0014198911376297474,0.01793014444410801,0.001542431185953319,0.001542431185953319,0.019412647932767868,32,3,relu,75,64,relu,256,200,20,adam,0.001
127,0.0013819930609315634,0.0013819930609315634,0.01771886833012104,0.0014758353354409337,0.0014758353354409337,0.01867969147861004,64,3,relu,50,32,tanh,256,200,20,adam,0.0001
104,0.0013809084193781018,0.0013809084193781018,0.017733804881572723,0.0014790456043556333,0.0014790456043556333,0.018784480169415474,64,3,relu,50,32,relu,256,200,20,adam,1e-05
104,0.0013857551384717226,0.0013857551384717226,0.017665401101112366,0.0014559514820575714,0.0014559514820575714,0.018870623782277107,64,7,relu,50,16,relu,256,200,20,adam,1e-05
80,0.0014065859140828252,0.0014065859140828252,0.017982162535190582,0.001577051472850144,0.001577051472850144,0.019310463219881058,32,3,relu,75,16,tanh,256,200,20,adam,0.0001
88,0.0014023098628968,0.0014023098628968,0.017899040132761,0.001522104605101049,0.001522104605101049,0.019232770428061485,64,5,relu,75,64,relu,256,200,20,adam,0.001
94,0.0014035433996468782,0.0014035433996468782,0.01781613938510418,0.0015102667966857553,0.0015102667966857553,0.019105499610304832,64,5,relu,50,64,tanh,256,200,20,adam,1e-05
223,0.001388414530083537,0.001388414530083537,0.017939720302820206,0.0015423245495185256,0.0015423245495185256,0.01937130093574524,32,3,relu,50,16,relu,256,200,20,adam,0.001
190,0.0014055882347747684,0.0014055882347747684,0.017933106049895287,0.001541492878459394,0.001541492878459394,0.019349848851561546,64,5,relu,75,16,relu,256,200,20,adam,0.0001
96,0.0014090030454099178,0.0014090030454099178,0.017888689413666725,0.0015123278135433793,0.0015123278135433793,0.01898016221821308,32,3,relu,50,32,tanh,256,200,20,adam,1e-05
88,0.0014110722113400698,0.0014110722113400698,0.01798469014465809,0.0015427109319716692,0.0015427109319716692,0.019245382398366928,64,3,relu,75,64,relu,256,200,20,adam,1e-05
109,0.001394007820636034,0.001394007820636034,0.017811957746744156,0.0014825727557763457,0.0014825727557763457,0.018915794789791107,64,7,relu,50,16,relu,256,200,20,adam,0.0001
148,0.0013983091339468956,0.0013983091339468956,0.017743229866027832,0.0014987440081313252,0.0014987440081313252,0.019098574295639992,64,3,relu,75,64,tanh,256,200,20,adam,1e-05
88,0.0014054774073883891,0.0014054774073883891,0.017843175679445267,0.0015496776904910803,0.0015496776904910803,0.019296759739518166,64,3,relu,50,32,tanh,256,200,20,adam,0.001
85,0.0014074905775487423,0.0014074905775487423,0.017952676862478256,0.0015407154569402337,0.0015407154569402337,0.019251428544521332,32,5,relu,75,16,tanh,256,200,20,adam,1e-05
77,0.0014086456503719091,0.0014086456503719091,0.017805064097046852,0.001484368578530848,0.001484368578530848,0.019051721319556236,64,5,relu,75,16,tanh,256,200,20,adam,1e-05
83,0.0014090060722082853,0.0014090060722082853,0.01781674660742283,0.0015130846295505762,0.0015130846295505762,0.019168788567185402,32,3,relu,75,32,relu,256,200,20,adam,0.001
98,0.001401138841174543,0.001401138841174543,0.018114538863301277,0.0015861383872106671,0.0015861383872106671,0.019481973722577095,32,7,relu,75,16,relu,256,200,20,adam,1e-05
184,0.0014076794032007456,0.0014076794032007456,0.017864609137177467,0.0015224457019940019,0.0015224457019940019,0.019149422645568848,64,5,relu,50,16,relu,256,200,20,adam,0.0001
109,0.001395460101775825,0.001395460101775825,0.01766987331211567,0.0014807701809331775,0.0014807701809331775,0.01885402202606201,32,7,relu,75,32,tanh,256,200,20,adam,0.001
85,0.0014095305232331157,0.0014095305232331157,0.017928868532180786,0.0015015376266092062,0.0015015376266092062,0.0190436989068985,64,7,relu,50,64,relu,256,200,20,adam,0.001
85,0.001401823596097529,0.001401823596097529,0.01777690276503563,0.0014994216617196798,0.0014994216617196798,0.019087322056293488,32,7,relu,50,32,tanh,256,200,20,adam,1e-05
83,0.001390194520354271,0.001390194520354271,0.017785998061299324,0.001499489531852305,0.001499489531852305,0.01903482899069786,32,3,relu,50,16,relu,256,200,20,adam,1e-05
88,0.0014172365190461278,0.0014172365190461278,0.018097957596182823,0.0015864982269704342,0.0015864982269704342,0.01952681504189968,32,5,relu,50,16,tanh,256,200,20,adam,1e-05
103,0.0014109860640019178,0.0014109860640019178,0.017947986721992493,0.001530633307993412,0.001530633307993412,0.019241832196712494,32,3,relu,75,64,tanh,256,200,20,adam,0.001
96,0.0014091113116592169,0.0014091113116592169,0.017967822030186653,0.0015055767726153135,0.0015055767726153135,0.019047128036618233,32,5,relu,50,64,tanh,256,200,20,adam,0.0001
71,0.001419857027940452,0.001419857027940452,0.018191207200288773,0.0016171849565580487,0.0016171849565580487,0.01963103376328945,64,5,relu,75,64,relu,256,200,20,adam,0.0001
81,0.0013979673385620117,0.0013979673385620117,0.017953364178538322,0.001550979563035071,0.001550979563035071,0.019198831170797348,32,5,relu,50,64,relu,256,200,20,adam,0.0001
73,0.0014238276053220034,0.0014238276053220034,0.017962131649255753,0.0015263138338923454,0.0015263138338923454,0.019330451264977455,64,3,relu,50,32,relu,256,200,20,adam,0.001
85,0.0013977455673739314,0.0013977455673739314,0.017875928431749344,0.0015343051636591554,0.0015343051636591554,0.019059186801314354,64,7,relu,75,32,tanh,256,200,20,adam,0.001
115,0.0013924241065979004,0.0013924241065979004,0.017673254013061523,0.0014353238511830568,0.0014353238511830568,0.018527010455727577,64,7,relu,50,64,tanh,256,200,20,adam,0.0001
81,0.0014041236136108637,0.0014041236136108637,0.017878925427794456,0.001568321487866342,0.001568321487866342,0.019406767562031746,64,3,relu,75,32,tanh,256,200,20,adam,1e-05
