round_epochs,loss,mse,mae,val_loss,val_mse,val_mae,first_conv_dim,first_conv_kernel,first_conv_activation,first_lstm_dim,first_dense_dim,first_dense_activation,batch_size,epochs,patience,optimizer,lr
99,0.0020550803747028112,0.0020550803747028112,0.022099317982792854,0.0019933155272156,0.0019933155272156,0.024262236431241035,32,5,relu,50,16,relu,256,200,20,adam,0.001
101,0.0020775150042027235,0.0020775150042027235,0.022184105589985847,0.002009765710681677,0.002009765710681677,0.02436700090765953,32,5,relu,75,64,tanh,256,200,20,adam,1e-05
93,0.002070824848487973,0.002070824848487973,0.022190378978848457,0.001969342352822423,0.001969342352822423,0.02426166646182537,32,5,relu,75,16,relu,256,200,20,adam,1e-05
109,0.0020812805742025375,0.0020812805742025375,0.02222982607781887,0.0019928968977183104,0.0019928968977183104,0.024261338636279106,64,5,relu,75,64,relu,256,200,20,adam,0.0001
1000,0.0020055880304425955,0.0020055880304425955,0.021915268152952194,0.0019457346061244607,0.0019457346061244607,0.024231068789958954,64,3,relu,75,64,relu,256,200,20,adam,0.0001
1000,0.002002389868721366,0.002002389868721366,0.02178695611655712,0.0019343484891578555,0.0019343484891578555,0.0241591427475214,32,5,relu,75,32,relu,256,200,20,adam,1e-05
108,0.0020878612995147705,0.0020878612995147705,0.02223205380141735,0.0019474803702905774,0.0019474803702905774,0.024207700043916702,32,5,relu,50,64,tanh,256,200,20,adam,0.001
96,0.0020717645529657602,0.0020717645529657602,0.022237977012991905,0.002026511821895838,0.002026511821895838,0.024427229538559914,64,3,relu,75,16,tanh,256,200,20,adam,0.001
113,0.0020631153602153063,0.0020631153602153063,0.022152280434966087,0.0019812253303825855,0.0019812253303825855,0.024306340143084526,32,3,relu,50,32,relu,256,200,20,adam,0.0001
80,0.0020629086066037416,0.0020629086066037416,0.02216464653611183,0.0019934051670134068,0.0019934051670134068,0.02419907972216606,32,3,relu,50,16,relu,256,200,20,adam,0.0001
1000,0.0020108413882553577,0.0020108413882553577,0.021913258358836174,0.0019536414183676243,0.0019536414183676243,0.024074628949165344,64,3,relu,50,16,tanh,256,200,20,adam,1e-05
113,0.00206377892754972,0.00206377892754972,0.022094378247857094,0.001921737683005631,0.001921737683005631,0.02416125126183033,32,3,relu,50,32,tanh,256,200,20,adam,0.0001
1000,0.0019217644585296512,0.0019217644585296512,0.021731149405241013,0.0019170691957697272,0.0019170691957697272,0.02396860159933567,64,3,relu,75,16,relu,256,200,20,adam,0.0001
1000,0.002001252956688404,0.002001252956688404,0.021971283480525017,0.001966038253158331,0.001966038253158331,0.02442065440118313,32,5,relu,50,16,tanh,256,200,20,adam,0.001
125,0.0020570724736899137,0.0020570724736899137,0.02214948460459709,0.0020430192817002535,0.0020430192817002535,0.024533867835998535,64,3,relu,75,16,tanh,256,200,20,adam,1e-05
77,0.0020691563840955496,0.0020691563840955496,0.022248348221182823,0.0020286168437451124,0.0020286168437451124,0.024383768439292908,32,7,relu,75,64,relu,256,200,20,adam,0.0001
89,0.0020810170099139214,0.0020810170099139214,0.022365331649780273,0.002003871602937579,0.002003871602937579,0.024269601330161095,64,3,relu,75,16,relu,256,200,20,adam,0.001
124,0.0020506796427071095,0.0020506796427071095,0.02207304537296295,0.0019678135868161917,0.0019678135868161917,0.02416788786649704,64,5,relu,75,32,relu,256,200,20,adam,0.0001
102,0.0020847732666879892,0.0020847732666879892,0.022277871146798134,0.0020469792652875185,0.0020469792652875185,0.024564623832702637,64,7,relu,50,32,relu,256,200,20,adam,0.001
431,0.0020658103749156,0.0020658103749156,0.022142427042126656,0.0018221210921183228,0.0018221210921183228,0.023782620206475258,32,5,relu,75,16,tanh,256,200,20,adam,0.001
