round_epochs,loss,mse,mae,val_loss,val_mse,val_mae,first_conv_dim,first_conv_kernel,first_conv_activation,first_lstm_dim,first_dense_dim,first_dense_activation,batch_size,epochs,patience,optimizer,lr
90,0.0020518621895462275,0.0020518621895462275,0.01873713545501232,0.0021358064841479063,0.0021358064841479063,0.021197987720370293,32,3,relu,75,64,relu,256,200,20,adam,0.001
94,0.00205570412799716,0.00205570412799716,0.018603283911943436,0.00218134350143373,0.00218134350143373,0.020807728171348572,32,7,relu,75,64,relu,256,200,20,adam,0.0001
94,0.002024686662480235,0.002024686662480235,0.018581368029117584,0.002153192413970828,0.002153192413970828,0.021081145852804184,32,7,relu,50,32,relu,256,200,20,adam,0.001
93,0.002038387581706047,0.002038387581706047,0.018598413094878197,0.002160052303224802,0.002160052303224802,0.020972734317183495,32,7,relu,50,64,relu,256,200,20,adam,0.0001
83,0.002041288884356618,0.002041288884356618,0.018596196547150612,0.002127951243892312,0.002127951243892312,0.020947396755218506,32,7,relu,50,32,tanh,256,200,20,adam,1e-05
92,0.0020533008500933647,0.0020533008500933647,0.01871759444475174,0.002133729634806514,0.002133729634806514,0.020970940589904785,32,3,relu,75,64,relu,256,200,20,adam,1e-05
88,0.0020600222051143646,0.0020600222051143646,0.018887612968683243,0.0021098714787513018,0.0021098714787513018,0.021082155406475067,64,3,relu,50,16,relu,256,200,20,adam,0.0001
86,0.002057997277006507,0.002057997277006507,0.018806789070367813,0.0021148929372429848,0.0021148929372429848,0.020870564505457878,32,7,relu,75,64,relu,256,200,20,adam,1e-05
101,0.0020479473751038313,0.0020479473751038313,0.01870598830282688,0.0021189453545957804,0.0021189453545957804,0.02092016115784645,64,5,relu,75,32,tanh,256,200,20,adam,1e-05
90,0.0020711252000182867,0.0020711252000182867,0.01885593868792057,0.0021334581542760134,0.0021334581542760134,0.02109581232070923,64,7,relu,75,32,tanh,256,200,20,adam,0.001
140,0.002040944993495941,0.002040944993495941,0.01864747889339924,0.0021570054814219475,0.0021570054814219475,0.021203478798270226,64,5,relu,50,32,tanh,256,200,20,adam,0.0001
103,0.0020301290787756443,0.0020301290787756443,0.018613632768392563,0.0021170007530599833,0.0021170007530599833,0.020711878314614296,32,3,relu,75,16,relu,256,200,20,adam,0.0001
97,0.0020431545563042164,0.0020431545563042164,0.018621638417243958,0.0021727364510297775,0.0021727364510297775,0.021162625402212143,64,3,relu,75,64,relu,256,200,20,adam,1e-05
100,0.002044777851551771,0.002044777851551771,0.018604490906000137,0.0021277321502566338,0.0021277321502566338,0.020782461389899254,32,5,relu,50,16,tanh,256,200,20,adam,0.0001
78,0.002096571261063218,0.002096571261063218,0.019040772691369057,0.0021208119578659534,0.0021208119578659534,0.020896149799227715,32,3,relu,50,64,tanh,256,200,20,adam,1e-05
113,0.0020467357244342566,0.0020467357244342566,0.01870979554951191,0.0020931526087224483,0.0020931526087224483,0.020816978067159653,32,7,relu,75,32,relu,256,200,20,adam,0.0001
94,0.0020236170385032892,0.0020236170385032892,0.018498435616493225,0.0021657641045749187,0.0021657641045749187,0.02092013694345951,32,3,relu,50,64,tanh,256,200,20,adam,0.001
212,0.002021264052018523,0.002021264052018523,0.01851089484989643,0.00208641542121768,0.00208641542121768,0.02056105248630047,32,3,relu,75,32,relu,256,200,20,adam,0.001
92,0.0020571534987539053,0.0020571534987539053,0.018795553594827652,0.002146919956430793,0.002146919956430793,0.021043378859758377,64,3,relu,75,16,tanh,256,200,20,adam,0.001
109,0.002025215420871973,0.002025215420871973,0.018578799441456795,0.002141451695933938,0.002141451695933938,0.020973196253180504,64,7,relu,50,16,relu,256,200,20,adam,0.0001
165,0.002045137109234929,0.002045137109234929,0.018681742250919342,0.002093186369165778,0.002093186369165778,0.020835453644394875,32,3,relu,50,16,relu,256,200,20,adam,0.0001
