round_epochs,loss,mse,mae,val_loss,val_mse,val_mae,conv_filter,conv_kernel,conv_activation,dilation_rate,dropout_rate,dense_dim,dense_activation,batch_size,epochs,patience,optimizer,lr
62,0.005500780418515205,0.005500780418515205,0.05246126651763916,0.003035037312656641,0.003035037312656641,0.02991550788283348,64,16,relu,4,0.0,64,relu,256,1000,50,adam,0.001
71,0.005215611774474382,0.005215611774474382,0.04986296594142914,0.002850748598575592,0.002850748598575592,0.02723175659775734,32,8,relu,4,0.0,32,relu,256,1000,50,adam,0.001
73,0.005125639960169792,0.005125639960169792,0.04889910668134689,0.0028551584109663963,0.0028551584109663963,0.027484465390443802,64,16,relu,4,0.1,32,relu,256,1000,50,adam,0.0001
102,0.00451617781072855,0.00451617781072855,0.045677296817302704,0.0029615825042128563,0.0029615825042128563,0.026656733825802803,32,8,relu,8,0.0,64,relu,256,1000,50,adam,0.001
70,0.004960104823112488,0.004960104823112488,0.048918917775154114,0.002801009686663747,0.002801009686663747,0.027007857337594032,16,4,relu,1,0.05,64,relu,256,1000,50,adam,1e-05
76,0.00564964534714818,0.00564964534714818,0.0529961921274662,0.0028225956484675407,0.0028225956484675407,0.02745020017027855,64,8,relu,4,0.0,64,relu,256,1000,50,adam,1e-05
71,0.005930300801992416,0.005930300801992416,0.05589640513062477,0.0029639010317623615,0.0029639010317623615,0.02759704552590847,64,8,relu,8,0.05,32,relu,256,1000,50,adam,0.001
71,0.00527469627559185,0.00527469627559185,0.05048547312617302,0.002973961178213358,0.002973961178213358,0.030034201219677925,16,8,relu,8,0.1,64,relu,256,1000,50,adam,0.001
111,0.004339274019002914,0.004339274019002914,0.043513573706150055,0.0028682188130915165,0.0028682188130915165,0.027539044618606567,32,8,relu,8,0.05,32,relu,256,1000,50,adam,0.0001
61,0.006038236431777477,0.006038236431777477,0.05624253302812576,0.0029864353127777576,0.0029864353127777576,0.032022323459386826,16,16,relu,8,0.1,64,relu,256,1000,50,adam,0.0001
68,0.0057440996170043945,0.0057440996170043945,0.05314427614212036,0.0028316329699009657,0.0028316329699009657,0.027726992964744568,32,8,relu,8,0.1,64,relu,256,1000,50,adam,0.001
58,0.005559846758842468,0.005559846758842468,0.053064387291669846,0.0029211072251200676,0.0029211072251200676,0.028210915625095367,64,16,relu,4,0.05,32,relu,256,1000,50,adam,0.0001
76,0.005007990635931492,0.005007990635931492,0.0471760630607605,0.00311844889074564,0.00311844889074564,0.03128669783473015,32,4,relu,4,0.05,64,relu,256,1000,50,adam,0.001
58,0.005907311569899321,0.005907311569899321,0.054143961519002914,0.0028598858043551445,0.0028598858043551445,0.029225248843431473,32,4,relu,4,0.0,32,relu,256,1000,50,adam,0.001
61,0.006039321422576904,0.006039321422576904,0.0540618970990181,0.0031330024357885122,0.0031330024357885122,0.03162766620516777,32,16,relu,8,0.1,64,relu,256,1000,50,adam,0.0001
155,0.0042349849827587605,0.0042349849827587605,0.042414452880620956,0.002833377569913864,0.002833377569913864,0.026582634076476097,32,16,relu,8,0.05,64,relu,256,1000,50,adam,0.001
83,0.005034316331148148,0.005034316331148148,0.047879043966531754,0.002735861809924245,0.002735861809924245,0.02591797709465027,64,4,relu,4,0.0,32,relu,256,1000,50,adam,0.001
64,0.0054576583206653595,0.0054576583206653595,0.05191102996468544,0.0030061695724725723,0.0030061695724725723,0.0282007846981287,16,16,relu,1,0.1,64,relu,256,1000,50,adam,0.001
137,0.0038745668716728687,0.0038745668716728687,0.040986571460962296,0.0029234192334115505,0.0029234192334115505,0.027121001854538918,32,4,relu,8,0.05,64,relu,256,1000,50,adam,0.0001
67,0.005755315069109201,0.005755315069109201,0.052640993148088455,0.0027375943027436733,0.0027375943027436733,0.026277611032128334,32,16,relu,4,0.0,32,relu,256,1000,50,adam,0.001
76,0.005278157070279121,0.005278157070279121,0.05154891312122345,0.002845849609002471,0.002845849609002471,0.026835434138774872,64,4,relu,8,0.1,64,relu,256,1000,50,adam,1e-05
