round_epochs,loss,mse,mae,val_loss,val_mse,val_mae,conv_filter,conv_kernel,conv_activation,dilation_rate,dropout_rate,dense_dim,dense_activation,batch_size,epochs,patience,optimizer,lr
68,0.005513578653335571,0.005513578653335571,0.0553099662065506,0.0012096420396119356,0.0012096420396119356,0.016878273338079453,16,4,relu,8,0.1,32,relu,256,1000,50,adam,0.0001
129,0.003208999754860997,0.003208999754860997,0.04006899148225784,0.0012017980916425586,0.0012017980916425586,0.015444514341652393,16,8,relu,4,0.0,64,relu,256,1000,50,adam,1e-05
133,0.003495650365948677,0.003495650365948677,0.04183988645672798,0.00121030630543828,0.00121030630543828,0.016347840428352356,64,16,relu,4,0.1,32,relu,256,1000,50,adam,0.001
104,0.0035080050583928823,0.0035080050583928823,0.043026410043239594,0.0011504298308864236,0.0011504298308864236,0.015266715548932552,32,16,relu,4,0.05,32,relu,256,1000,50,adam,0.0001
73,0.005848584696650505,0.005848584696650505,0.057833414524793625,0.0012469773646444082,0.0012469773646444082,0.01736615039408207,64,16,relu,8,0.05,32,relu,256,1000,50,adam,1e-05
58,0.0077158259227871895,0.0077158259227871895,0.06709089875221252,0.0016586551209911704,0.0016586551209911704,0.027722861617803574,32,16,relu,4,0.1,32,relu,256,1000,50,adam,0.001
60,0.007379908114671707,0.007379908114671707,0.06525331735610962,0.0013778549619019032,0.0013778549619019032,0.023068219423294067,64,16,relu,1,0.1,32,relu,256,1000,50,adam,1e-05
167,0.003489592345431447,0.003489592345431447,0.042078226804733276,0.0012283319374546409,0.0012283319374546409,0.017956625670194626,16,16,relu,4,0.05,32,relu,256,1000,50,adam,1e-05
72,0.005285278894007206,0.005285278894007206,0.054193489253520966,0.0013965299585834146,0.0013965299585834146,0.022931965067982674,32,8,relu,8,0.05,64,relu,256,1000,50,adam,0.0001
165,0.0029301615431904793,0.0029301615431904793,0.03833775967359543,0.0012056472478434443,0.0012056472478434443,0.016522834077477455,64,8,relu,4,0.1,64,relu,256,1000,50,adam,0.0001
74,0.005534084979444742,0.005534084979444742,0.05533669888973236,0.0011969511397182941,0.0011969511397182941,0.01684095524251461,32,4,relu,1,0.1,32,relu,256,1000,50,adam,0.0001
68,0.007300578057765961,0.007300578057765961,0.06575553864240646,0.0013680937699973583,0.0013680937699973583,0.022069264203310013,64,4,relu,4,0.0,64,relu,256,1000,50,adam,0.001
92,0.004552347119897604,0.004552347119897604,0.04990125820040703,0.001268062274903059,0.001268062274903059,0.01849057525396347,32,8,relu,8,0.1,32,relu,256,1000,50,adam,0.001
57,0.006201710551977158,0.006201710551977158,0.06079200655221939,0.0013055895688012242,0.0013055895688012242,0.020599493756890297,64,8,relu,1,0.1,64,relu,256,1000,50,adam,1e-05
