round_epochs,loss,mse,mae,val_loss,val_mse,val_mae,conv_filter,conv_kernel,conv_activation,dilation_rate,dropout_rate,dense_dim,dense_activation,batch_size,epochs,patience,optimizer,lr
452,0.0015404971782118082,0.0015404971782118082,0.025105994194746017,0.0011823270469903946,0.0011823270469903946,0.019300244748592377,32,16,relu,8,0.0,64,relu,256,1000,50,adam,0.0001
377,0.0018573577981442213,0.0018573577981442213,0.02724807895720005,0.0013519332278519869,0.0013519332278519869,0.019317906349897385,16,8,relu,8,0.1,64,relu,256,1000,50,adam,1e-05
69,0.003415841143578291,0.003415841143578291,0.04283829778432846,0.001507581677287817,0.001507581677287817,0.023745490238070488,32,4,relu,1,0.0,64,relu,256,1000,50,adam,0.001
58,0.003521769307553768,0.003521769307553768,0.04351591691374779,0.0013852426782250404,0.0013852426782250404,0.020552949979901314,32,8,relu,1,0.05,64,relu,256,1000,50,adam,0.0001
396,0.0017205741023644805,0.0017205741023644805,0.026126964017748833,0.0012968828668817878,0.0012968828668817878,0.01954783871769905,16,16,relu,8,0.1,32,relu,256,1000,50,adam,0.0001
370,0.0018633233848959208,0.0018633233848959208,0.02800827845931053,0.0012464001774787903,0.0012464001774787903,0.01951207034289837,64,8,relu,4,0.0,32,relu,256,1000,50,adam,1e-05
287,0.0017185566248372197,0.0017185566248372197,0.02712237648665905,0.0012822122080251575,0.0012822122080251575,0.019712980836629868,16,8,relu,1,0.1,64,relu,256,1000,50,adam,1e-05
152,0.0023718494921922684,0.0023718494921922684,0.032532140612602234,0.001411457546055317,0.001411457546055317,0.020977359265089035,16,4,relu,1,0.0,32,relu,256,1000,50,adam,0.001
115,0.002702073659747839,0.002702073659747839,0.03661203384399414,0.0013852260308340192,0.0013852260308340192,0.01949497126042843,64,16,relu,8,0.0,64,relu,256,1000,50,adam,1e-05
292,0.0019455446163192391,0.0019455446163192391,0.028157413005828857,0.001279547461308539,0.001279547461308539,0.019452525302767754,16,4,relu,1,0.05,64,relu,256,1000,50,adam,0.0001
349,0.0017773463623598218,0.0017773463623598218,0.026222042739391327,0.0013637433294206858,0.0013637433294206858,0.020237095654010773,16,4,relu,1,0.0,32,relu,256,1000,50,adam,0.0001
195,0.001945959753356874,0.001945959753356874,0.028101030737161636,0.001336404005996883,0.001336404005996883,0.019222624599933624,16,8,relu,4,0.1,64,relu,256,1000,50,adam,1e-05
