round_epochs,loss,mse,mae,val_loss,val_mse,val_mae,conv_filter,conv_kernel,conv_activation,dilation_rate,dropout_rate,dense_dim,dense_activation,batch_size,epochs,patience,optimizer,lr
533,0.0018753809854388237,0.0018753809854388237,0.029714791104197502,0.0026443148963153362,0.0026443148963153362,0.02675892785191536,64,8,relu,8,0.0,64,relu,256,1000,50,adam,0.001
445,0.0021445106249302626,0.0021445106249302626,0.03163687139749527,0.0026430520229041576,0.0026430520229041576,0.024036865681409836,16,4,relu,8,0.1,32,relu,256,1000,50,adam,0.0001
181,0.002788809360936284,0.002788809360936284,0.03697436675429344,0.002783458912745118,0.002783458912745118,0.024940552189946175,64,16,relu,1,0.0,64,relu,256,1000,50,adam,0.0001
69,0.0046322401612997055,0.0046322401612997055,0.051036663353443146,0.0027491701766848564,0.0027491701766848564,0.024941319599747658,16,8,relu,8,0.0,32,relu,256,1000,50,adam,1e-05
73,0.004916617646813393,0.004916617646813393,0.053011633455753326,0.0027887895703315735,0.0027887895703315735,0.025175420567393303,16,16,relu,1,0.1,64,relu,256,1000,50,adam,0.0001
258,0.0024377331137657166,0.0024377331137657166,0.03418929874897003,0.0027074036188423634,0.0027074036188423634,0.02450769580900669,64,16,relu,8,0.0,64,relu,256,1000,50,adam,1e-05
137,0.0029870078433305025,0.0029870078433305025,0.03874124586582184,0.002754137385636568,0.002754137385636568,0.025373492389917374,16,8,relu,4,0.05,64,relu,256,1000,50,adam,1e-05
61,0.005360891111195087,0.005360891111195087,0.05484752357006073,0.0030155039858072996,0.0030155039858072996,0.03084614686667919,16,8,relu,1,0.0,64,relu,256,1000,50,adam,1e-05
73,0.004917720798403025,0.004917720798403025,0.052694644778966904,0.002771602012217045,0.002771602012217045,0.02547640912234783,32,4,relu,8,0.1,32,relu,256,1000,50,adam,1e-05
66,0.004407526925206184,0.004407526925206184,0.049332860857248306,0.0027582631446421146,0.0027582631446421146,0.02476702816784382,16,4,relu,1,0.05,64,relu,256,1000,50,adam,0.0001
605,0.0017490164609625936,0.0017490164609625936,0.02946700155735016,0.0025920954067260027,0.0025920954067260027,0.024397021159529686,16,8,relu,4,0.0,32,relu,256,1000,50,adam,1e-05
484,0.0019498143810778856,0.0019498143810778856,0.03100634180009365,0.00264210207387805,0.00264210207387805,0.023963479325175285,64,8,relu,8,0.0,32,relu,256,1000,50,adam,1e-05
86,0.0047990744933485985,0.0047990744933485985,0.05091385543346405,0.002797588473185897,0.002797588473185897,0.024913378059864044,16,16,relu,8,0.0,64,relu,256,1000,50,adam,0.001
124,0.0037850295193493366,0.0037850295193493366,0.04479324817657471,0.00271775433793664,0.00271775433793664,0.024940786883234978,32,4,relu,8,0.05,64,relu,256,1000,50,adam,1e-05
551,0.0020605199970304966,0.0020605199970304966,0.031192975118756294,0.0026961949188262224,0.0026961949188262224,0.024958200752735138,32,4,relu,4,0.1,64,relu,256,1000,50,adam,0.001
329,0.0020956730004400015,0.0020956730004400015,0.031939852982759476,0.002694150898605585,0.002694150898605585,0.024738846346735954,16,8,relu,4,0.1,64,relu,256,1000,50,adam,0.0001
602,0.002207591664046049,0.002207591664046049,0.0319984145462513,0.0025961005594581366,0.0025961005594581366,0.02397078648209572,64,16,relu,8,0.1,64,relu,256,1000,50,adam,1e-05
553,0.002117192605510354,0.002117192605510354,0.03143263980746269,0.002643733285367489,0.002643733285367489,0.024058425799012184,64,4,relu,4,0.05,32,relu,256,1000,50,adam,1e-05
67,0.005434819497168064,0.005434819497168064,0.05552512779831886,0.0028089347761124372,0.0028089347761124372,0.025163790211081505,16,8,relu,4,0.0,64,relu,256,1000,50,adam,1e-05
71,0.004597967024892569,0.004597967024892569,0.05004207417368889,0.002756377449259162,0.002756377449259162,0.024929039180278778,16,16,relu,4,0.0,64,relu,256,1000,50,adam,1e-05
90,0.004189300816506147,0.004189300816506147,0.04675968363881111,0.0029466249980032444,0.0029466249980032444,0.03006058558821678,32,16,relu,1,0.1,32,relu,256,1000,50,adam,1e-05
75,0.004936988931149244,0.004936988931149244,0.05241986736655235,0.0027934745885431767,0.0027934745885431767,0.025839993730187416,64,8,relu,8,0.05,64,relu,256,1000,50,adam,0.0001
643,0.0021148892119526863,0.0021148892119526863,0.031517114490270615,0.002556046238169074,0.002556046238169074,0.023917824029922485,16,4,relu,1,0.0,64,relu,256,1000,50,adam,1e-05
100,0.004282543435692787,0.004282543435692787,0.0485759899020195,0.0028048681560903788,0.0028048681560903788,0.02493005432188511,16,4,relu,8,0.0,64,relu,256,1000,50,adam,1e-05
68,0.005477341823279858,0.005477341823279858,0.05646859109401703,0.002771815052255988,0.002771815052255988,0.02568957954645157,32,8,relu,8,0.05,32,relu,256,1000,50,adam,1e-05
438,0.002088274108245969,0.002088274108245969,0.03167373314499855,0.002686960157006979,0.002686960157006979,0.024682752788066864,16,8,relu,4,0.1,32,relu,256,1000,50,adam,1e-05
81,0.004276473540812731,0.004276473540812731,0.04776373133063316,0.002784471958875656,0.002784471958875656,0.025834381580352783,32,4,relu,1,0.1,32,relu,256,1000,50,adam,1e-05
634,0.001795846619643271,0.001795846619643271,0.029149191454052925,0.002591916359961033,0.002591916359961033,0.024320702999830246,32,4,relu,1,0.1,32,relu,256,1000,50,adam,0.0001
287,0.002391456626355648,0.002391456626355648,0.03404337167739868,0.0026890509761869907,0.0026890509761869907,0.024392910301685333,32,8,relu,8,0.0,64,relu,256,1000,50,adam,0.001
393,0.0020526868756860495,0.0020526868756860495,0.030973540619015694,0.002752642147243023,0.002752642147243023,0.02651860937476158,32,16,relu,8,0.1,64,relu,256,1000,50,adam,1e-05
180,0.003252340480685234,0.003252340480685234,0.04072039574384689,0.002745162695646286,0.002745162695646286,0.024622853845357895,16,8,relu,8,0.1,32,relu,256,1000,50,adam,0.001
71,0.004328724928200245,0.004328724928200245,0.04841947928071022,0.0028740130364894867,0.0028740130364894867,0.02660016156733036,32,8,relu,4,0.1,32,relu,256,1000,50,adam,0.0001
345,0.0022249920293688774,0.0022249920293688774,0.03274060785770416,0.0026664913166314363,0.0026664913166314363,0.02418619394302368,16,8,relu,4,0.05,32,relu,256,1000,50,adam,0.0001
126,0.003470188472419977,0.003470188472419977,0.041889652609825134,0.0028307531028985977,0.0028307531028985977,0.026168737560510635,64,16,relu,1,0.0,32,relu,256,1000,50,adam,1e-05
425,0.0021673564333468676,0.0021673564333468676,0.03227201849222183,0.0026401528157293797,0.0026401528157293797,0.02419337071478367,32,8,relu,4,0.05,64,relu,256,1000,50,adam,1e-05
588,0.0019625588320195675,0.0019625588320195675,0.031242184340953827,0.0026786932721734047,0.0026786932721734047,0.024676745757460594,64,8,relu,1,0.1,64,relu,256,1000,50,adam,0.001
75,0.004583391360938549,0.004583391360938549,0.050160255283117294,0.0027887739706784487,0.0027887739706784487,0.025035593658685684,16,4,relu,4,0.1,64,relu,256,1000,50,adam,1e-05
325,0.002435572911053896,0.002435572911053896,0.03436169773340225,0.0027292598970234394,0.0027292598970234394,0.025054410099983215,64,16,relu,8,0.05,64,relu,256,1000,50,adam,1e-05
523,0.0018782218685373664,0.0018782218685373664,0.030621282756328583,0.0025504049845039845,0.0025504049845039845,0.023860326036810875,64,16,relu,1,0.1,64,relu,256,1000,50,adam,1e-05
72,0.0040511758998036385,0.0040511758998036385,0.04820862412452698,0.0027930126525461674,0.0027930126525461674,0.02527032606303692,32,4,relu,1,0.05,64,relu,256,1000,50,adam,1e-05
709,0.0018601035699248314,0.0018601035699248314,0.029023226350545883,0.0025933627039194107,0.0025933627039194107,0.02384273335337639,64,16,relu,4,0.0,64,relu,256,1000,50,adam,0.0001
59,0.005472193472087383,0.005472193472087383,0.055844444781541824,0.002967286156490445,0.002967286156490445,0.029418177902698517,64,8,relu,8,0.1,32,relu,256,1000,50,adam,0.0001
759,0.0019224905408918858,0.0019224905408918858,0.030256694182753563,0.0025383159518241882,0.0025383159518241882,0.023881161585450172,32,8,relu,8,0.05,64,relu,256,1000,50,adam,0.001
353,0.0023919628001749516,0.0023919628001749516,0.034109946340322495,0.002635063836351037,0.002635063836351037,0.02440713904798031,16,8,relu,4,0.0,64,relu,256,1000,50,adam,0.0001
62,0.0064460886642336845,0.0064460886642336845,0.062341876327991486,0.002897250931710005,0.002897250931710005,0.029520822688937187,16,4,relu,1,0.0,64,relu,256,1000,50,adam,0.0001
72,0.004274140577763319,0.004274140577763319,0.04858062416315079,0.0027314217295497656,0.0027314217295497656,0.024747712537646294,16,8,relu,1,0.05,32,relu,256,1000,50,adam,0.001
559,0.0019915434531867504,0.0019915434531867504,0.030987175181508064,0.00264486251398921,0.00264486251398921,0.024119554087519646,32,8,relu,8,0.05,64,relu,256,1000,50,adam,0.0001
