round_epochs,loss,mse,mae,val_loss,val_mse,val_mae,conv_filter,conv_kernel,conv_activation,dilation_rate,dropout_rate,dense_dim,dense_activation,batch_size,epochs,patience,optimizer,lr
68,0.004134013317525387,0.004134013317525387,0.04568137228488922,0.0020935290958732367,0.0020935290958732367,0.018075577914714813,64,8,relu,8,0.1,32,relu,256,1000,50,adam,0.001
188,0.0026203582528978586,0.0026203582528978586,0.03233969956636429,0.0021622898057103157,0.0021622898057103157,0.018461599946022034,32,16,relu,4,0.1,64,relu,256,1000,50,adam,0.0001
155,0.0027637144085019827,0.0027637144085019827,0.03351842984557152,0.0021657422184944153,0.0021657422184944153,0.01812262460589409,32,16,relu,1,0.05,64,relu,256,1000,50,adam,0.001
63,0.003479701466858387,0.003479701466858387,0.0414014495909214,0.002283575013279915,0.002283575013279915,0.01831245608627796,64,8,relu,1,0.0,32,relu,256,1000,50,adam,0.001
240,0.0024816154036670923,0.0024816154036670923,0.029967118054628372,0.002186160534620285,0.002186160534620285,0.01841609925031662,32,4,relu,1,0.05,64,relu,256,1000,50,adam,0.0001
66,0.004458432551473379,0.004458432551473379,0.047796525061130524,0.0022043755743652582,0.0022043755743652582,0.01806187629699707,16,16,relu,1,0.0,32,relu,256,1000,50,adam,1e-05
73,0.003678228473290801,0.003678228473290801,0.04138650745153427,0.002174846362322569,0.002174846362322569,0.018353182822465897,64,4,relu,1,0.1,64,relu,256,1000,50,adam,0.001
60,0.004037393722683191,0.004037393722683191,0.04493970796465874,0.002250246936455369,0.002250246936455369,0.019881270825862885,32,16,relu,1,0.05,64,relu,256,1000,50,adam,1e-05
440,0.002337039215490222,0.002337039215490222,0.02842879481613636,0.002138558542355895,0.002138558542355895,0.018781933933496475,16,8,relu,8,0.05,64,relu,256,1000,50,adam,1e-05
59,0.005009924527257681,0.005009924527257681,0.0523122102022171,0.002094372408464551,0.002094372408464551,0.01814929023385048,32,4,relu,8,0.1,32,relu,256,1000,50,adam,0.0001
71,0.004160613287240267,0.004160613287240267,0.043682463467121124,0.0022489395923912525,0.0022489395923912525,0.018213149160146713,64,8,relu,8,0.05,32,relu,256,1000,50,adam,1e-05
73,0.003917355556041002,0.003917355556041002,0.04385209083557129,0.0021648278925567865,0.0021648278925567865,0.018900414928793907,64,4,relu,1,0.05,32,relu,256,1000,50,adam,1e-05
71,0.004445566330105066,0.004445566330105066,0.047499652951955795,0.002211290877312422,0.002211290877312422,0.01882142387330532,64,4,relu,8,0.0,32,relu,256,1000,50,adam,1e-05
121,0.0030959160067141056,0.0030959160067141056,0.03708278760313988,0.0021711711306124926,0.0021711711306124926,0.018141373991966248,32,4,relu,8,0.1,64,relu,256,1000,50,adam,0.0001
72,0.0041597154922783375,0.0041597154922783375,0.04641715809702873,0.0022428552620112896,0.0022428552620112896,0.019025590270757675,16,4,relu,4,0.05,32,relu,256,1000,50,adam,0.0001
61,0.003956286236643791,0.003956286236643791,0.04392498359084129,0.0022711006458848715,0.0022711006458848715,0.01880251243710518,64,4,relu,1,0.1,32,relu,256,1000,50,adam,1e-05
167,0.002756149275228381,0.002756149275228381,0.03312821313738823,0.0021315852645784616,0.0021315852645784616,0.018928829580545425,16,8,relu,8,0.0,64,relu,256,1000,50,adam,0.001
74,0.003672238439321518,0.003672238439321518,0.040920671075582504,0.002276442712172866,0.002276442712172866,0.018517395481467247,64,4,relu,4,0.1,64,relu,256,1000,50,adam,0.0001
69,0.004169746767729521,0.004169746767729521,0.04500928148627281,0.002281076507642865,0.002281076507642865,0.01860658824443817,64,4,relu,8,0.05,64,relu,256,1000,50,adam,1e-05
161,0.003470980329439044,0.003470980329439044,0.04087718203663826,0.0021678509656339884,0.0021678509656339884,0.01873220130801201,16,8,relu,1,0.05,32,relu,256,1000,50,adam,1e-05
59,0.004390954039990902,0.004390954039990902,0.04688690975308418,0.002178823109716177,0.002178823109716177,0.020321302115917206,16,16,relu,8,0.0,64,relu,256,1000,50,adam,0.001
144,0.0031039814930409193,0.0031039814930409193,0.03599223122000694,0.0021424151491373777,0.0021424151491373777,0.018135447055101395,16,16,relu,4,0.0,32,relu,256,1000,50,adam,1e-05
123,0.0030567720532417297,0.0030567720532417297,0.03511432558298111,0.0020892713218927383,0.0020892713218927383,0.01838899962604046,32,16,relu,8,0.05,64,relu,256,1000,50,adam,1e-05
74,0.0037987083196640015,0.0037987083196640015,0.0429835207760334,0.002186477417126298,0.002186477417126298,0.018429651856422424,16,4,relu,8,0.05,64,relu,256,1000,50,adam,0.0001
65,0.0041784788481891155,0.0041784788481891155,0.045605581253767014,0.002096779178828001,0.002096779178828001,0.018324319273233414,16,8,relu,4,0.05,64,relu,256,1000,50,adam,0.0001
66,0.003672068938612938,0.003672068938612938,0.04205119609832764,0.002194821136072278,0.002194821136072278,0.018391620367765427,16,8,relu,8,0.1,64,relu,256,1000,50,adam,0.0001
73,0.0034439722076058388,0.0034439722076058388,0.039806067943573,0.002187683479860425,0.002187683479860425,0.017973685637116432,64,16,relu,1,0.0,32,relu,256,1000,50,adam,0.0001
111,0.003196206409484148,0.003196206409484148,0.03743844851851463,0.00220362632535398,0.00220362632535398,0.017930639907717705,64,8,relu,4,0.05,32,relu,256,1000,50,adam,1e-05
173,0.0026192395016551018,0.0026192395016551018,0.031585514545440674,0.002089529996737838,0.002089529996737838,0.018219802528619766,32,4,relu,1,0.0,32,relu,256,1000,50,adam,0.0001
858,0.0015192562714219093,0.0015192562714219093,0.024120206013321877,0.002030552364885807,0.002030552364885807,0.018207048997282982,64,16,relu,4,0.0,32,relu,256,1000,50,adam,0.001
