,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_epochs,params_feed_forward,params_hidden_layer_dim,params_input_chunk_length,params_lr,params_num_attention_heads,params_num_lstm_layers,params_optimizer,params_output_chunk_length,system_attrs_grid_id,system_attrs_search_space,state
0,0,0.012105250731110573,2024-08-06 17:13:01.967284,2024-08-06 17:15:20.289792,0 days 00:02:18.322508,256,0.0,1000,Bilinear,32,30,0.001,7,3,adam,1,0,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
1,1,0.012137744575738907,2024-08-06 17:15:20.290555,2024-08-06 17:17:53.092455,0 days 00:02:32.801900,256,0.0,1000,GatedResidualNetwork,64,30,0.001,2,4,adam,1,1,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
2,2,0.012323923408985138,2024-08-06 17:17:53.093238,2024-08-06 17:23:20.450574,0 days 00:05:27.357336,256,0.1,1000,ReLU,64,30,0.001,3,2,adam,1,2,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
3,3,0.01214061863720417,2024-08-06 17:23:20.451367,2024-08-06 17:25:54.559697,0 days 00:02:34.108330,256,0.05,1000,GELU,32,30,1e-05,7,2,adam,1,3,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
4,4,0.01223711483180523,2024-08-06 17:25:54.560527,2024-08-06 17:29:37.642493,0 days 00:03:43.081966,256,0.1,1000,ReGLU,128,30,0.0001,7,2,adam,1,4,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
5,5,0.012131561525166035,2024-08-06 17:29:37.643318,2024-08-06 17:31:58.328801,0 days 00:02:20.685483,256,0.1,1000,ReGLU,32,30,1e-05,3,3,adam,1,5,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
6,6,0.01221009623259306,2024-08-06 17:31:58.329603,2024-08-06 17:35:49.705996,0 days 00:03:51.376393,256,0.0,1000,Bilinear,128,30,0.001,7,2,adam,1,6,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
7,7,0.012178066186606884,2024-08-06 17:35:49.706835,2024-08-06 17:40:42.693562,0 days 00:04:52.986727,256,0.05,1000,SwiGLU,128,30,0.0001,5,4,adam,1,7,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
8,8,0.012304314412176609,2024-08-06 17:40:42.694379,2024-08-06 17:44:37.571526,0 days 00:03:54.877147,256,0.05,1000,GEGLU,64,30,1e-05,2,3,adam,1,8,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
9,9,0.012142764404416084,2024-08-06 17:44:37.572295,2024-08-06 17:46:20.629011,0 days 00:01:43.056716,256,0.1,1000,ReGLU,64,30,0.0001,3,2,adam,1,9,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
